n,method,runs,success,success_rate,avg_time_sec
8,CSP_basic,1,1,1.0,0.00025283300000000786
16,CSP_basic,1,1,1.0,0.02494170899999998
32,CSP_basic,1,0,0.0,5.010599916
64,CSP_basic,1,0,0.0,5.12878625
8,CSP_dynamic,1,1,1.0,0.00022366699999842865
16,CSP_dynamic,1,1,1.0,0.002306499999999545
32,CSP_dynamic,1,1,1.0,0.007188541000001436
64,CSP_dynamic,1,1,1.0,0.11730291599999987
8,SA,10,10,1.0,0.07901784599999981
16,SA,10,10,1.0,0.23542466259999983
32,SA,10,10,1.0,0.5500118544000003
64,SA,10,8,0.8,1.753060737600001
8,GA,10,10,1.0,0.005911545599999357
16,GA,10,2,0.2,1.0422437124
32,GA,10,2,0.2,1.2929423332000005
64,GA,10,1,0.1,3.122105741499997
